Filename,Mean Difference
AAR3_4.csv,0.20989323087811518
AAR3_2.csv,0.1430066225165565
AAL2_2.csv,0.17180132450331131
AAR3_3.csv,0.41207284768211905
AAL2_3.csv,0.14443708609271522
AAL2_1.csv,0.28837748344370895
AAR3_1.csv,0.11972847682119214
AAR2_1.csv,0.11168211920529791
AAL3_1.csv,0.1565496688741722
AAL1_3.csv,0.03952317880794709
AAL1_2.csv,0.0812980132450335
AAL3_2.csv,0.1444250674515576
AAR2_2.csv,0.2047152317880795
AAL1_1.csv,0.05494794701986727
AAL3_3.csv,0.25935099337748346
AAR2_3.csv,0.1916026490066225
