Trail Type,Mean Difference,Degrees
EL3,-0.07491176470588234,-15
EL3,-0.06270261437908486,-15
EL3,-0.08416013071895412,-15
EL2,-0.05347712418300654,-10
EL2,-0.031421568627451046,-10
EL2,-0.05826470588235293,-10
EL2,-0.0515326797385621,-10
EL1,-0.03254248366013074,-5
EL1,-0.02049999999999999,-5
EL1,-0.0335,-5
ER1,0.033990196078431345,5
ER1,0.030254901960784397,5
ER1,0.03360130718954235,5
ER1,-0.04275163398692827,5
ER2,0.05950326797385619,10
ER2,0.08505882352941174,10
ER2,0.06097385620915019,10
ER2,0.053333333333333455,10
ER3,0.07929411764705885,15
ER3,0.08325816993464052,15
ER3,0.07688888888888884,15
